ticker,IBOXUMAE CBBT Curncy,ITRXESE CBBT Curncy,IHYG EU Equity,ERIXITSE Index,ERIXCDIG Index,IBOXHYSE CBBT Curncy,VIX Index,ERINCDHY Index,V2X Index,ITRXEBE CBBT Curncy,ERIXITEU Index,ITRXEXE CBBT Curncy,ERIXITXO Index,SPX Index,SX5E Index,TYVIX Index,IEF Equity,AGG Equity,HYG Equity,LQD Equity,TY1 Comdty,SPJGBV Index,JB1 Comdty,SRVIX Index,USFS0110 CMPN Curncy,SPX Index,SX5E Index,IEF Equity,AGG Equity,HYG Equity,LQD Equity,IHYG EU Equity,TY1 Comdty,JB1 Comdty
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,YLD_CNV_LAST,YLD_CNV_LAST
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-09,,,,,,,30.22,,39.4,,,,,952.83,3113.69,,,,,,107.9375,,139.0,,5.7633,1442.5305,3460.1888,,,,,,4.983,1.51
2002-07-10,,,,,,,34.1,,41.93,,,,,920.47,2983.47,,,,,,108.65625,,139.27,,5.6344,1393.603,3316.1469,,,,,,4.895,1.488
2002-07-11,,,,,,,33.85,,46.56,,,,,927.37,2883.92,,,,,,108.84375,,139.38,,5.6623,1404.1244,3205.4964,,,,,,4.872,1.479
2002-07-12,,,,,,,32.94,,46.88,,,,,921.39,2886.3,,,,,,109.03125,,139.3,,5.5801,1395.0701,3208.1418,,,,,,4.85,1.486
2002-07-15,,,,,,,35.03,,52.77,,,,,917.93,2709.22,,,,,,108.9375,,139.56,,5.6638,1389.8346,3011.3162,,,,,,4.861,1.464
2002-07-16,,,,,,,36.65,,53.62,,,,,901.05,2713.73,,,,,,108.359375,,139.56,,5.7453,1364.2869,3016.3291,,,,,,4.931,1.464
2002-07-17,,,,,,,35.45,,51.64,,,,,906.04,2819.63,,,,,,108.78125,,139.63,,5.7455,1371.9569,3134.0377,,,,,,4.88,1.458
2002-07-18,,,,,,,35.12,,48.76,,,,,881.56,2850.14,,,,,,109.171875,,139.64,,5.6723,1334.9163,3168.2694,,,,,,4.833,1.458
2002-07-19,,,,,,,38.17,,52.06,,,,,847.76,2695.46,,,,,,109.46875,,139.63,,5.5621,1283.7351,2996.3242,,,,,,4.797,1.458
2002-07-22,,,,,,,41.87,,56.46,,,,,819.85,2544.95,,,,,,110.171875,,139.58,,5.4895,1241.4719,2829.0144,,,,,,4.713,1.462
