Date,VIXIG Percent,VIXIG Basis Point,VIXHY Percent,VIXHY Basis Point,VIXIE Percent,VIXIE Basis Point,VIXXO Percent,VIXXO Basis Point,VIXFS Percent,VIXFS Basis Point
2018-10-18,57.75424104,45.31399773,42.90896394,173.6675532,59.38391513,49.63746251,44.90355088,143.6964519,64.83197505,65.67409418
2018-10-19,54.07459174,41.38987988,41.97075856,170.5982873,59.00248993,48.65440054,44.21069945,141.8169111,65.85334103,66.64482795
2018-10-22,57.04650603,43.54801806,42.91834057,176.2393717,54.02874927,44.59142963,42.87986037,137.1539086,63.48348908,62.92406934
2018-10-23,56.50751588,43.34291213,43.82069739,179.8469044,55.55599712,47.44366516,44.85810865,148.45499009999997,65.72498092,67.16617741
2018-10-24,58.83183568,46.18140123,46.05961246,194.4794257,54.19478939,45.4959956,44.85869058,146.8368906,65.92140967,68.22610184
2018-10-25,55.45538677,43.6203554,44.30617185,186.0654869,56.89306187,48.40082494,44.56422475,147.7189296,67.16664986,67.91063585
2018-10-26,59.07008476,46.63388421,46.41641783,198.45947880000003,56.54596731,48.99120413,46.81594426,157.19228049999998,67.31408942,68.54565228
2018-10-29,58.43472755,46.39519235,45.36543533,193.9526775,56.59329295,48.06657982,44.23172356,143.96578490000002,62.70024764,62.63238202
2018-10-30,55.21405913,43.81768924,43.95063163,186.73058769999997,55.00798978,46.52001685,43.608852299999995,145.2174214,64.36191955,64.37954439
2018-10-31,54.49699801,41.90841951,41.48071176,173.2394485,55.81113897,46.08441095,43.25096293,140.43210580000002,65.25478269,65.05379876
2018-11-01,51.98987945,39.56485093,38.88032122,160.8753855,53.13160381,42.26071781,42.15290956,136.3739155,61.84517884,59.68750925
2018-11-02,49.68561759,37.53251907,38.78473211,159.4381412,47.35032692,37.38440475,39.90719247,126.0245446,57.16059627,53.17644647
2018-11-05,47.89084045,35.65356656,37.62470857,152.81483830000002,47.35722947,37.1556931,39.75697279,126.9841612,59.59326552,55.30038769
2018-11-06,49.34409088,36.98104034,37.55847256,150.0168184,47.42378605,37.26170787,39.61814108,124.36021000000001,59.93271036,56.34224202
2018-11-07,45.19991003,33.09944842,35.58538753,139.15098830000002,44.41700121,33.77662221,38.19671457,118.2134827,58.89186374,53.54987415
2018-11-08,45.36090572,32.98642688,36.11264619,143.3158918,44.18521634,33.88405625,37.72053158,116.46070290000002,59.03352187,55.40008538
2018-11-09,49.20877909,38.39575505,39.82234103,163.423056,45.38589486,35.62970913,38.82833537,122.022203,56.91465593,54.94362533
2018-11-12,,,,,48.09613253,38.77785842,40.08760341,128.9652961,57.852407799999995,57.51498645
2018-11-13,53.17691339,43.63272247,43.16704538,182.85502759999997,48.43330943,38.721844399999995,40.07979256,130.04115259999998,59.37214688,57.82008832
2018-11-14,55.17311028,46.32630904,46.70370039,201.57119980000002,50.67000854,41.49561062,41.4967611,136.7838372,59.3681524,58.81298148
2018-11-15,57.00422892,47.09269324,47.87097634,208.3569114,55.89453072,47.66640285,48.52387605,165.9025647,63.57288801,64.84190206
2018-11-16,58.72443585,51.01973107,48.53732544,212.45406859999997,59.01242354,51.12553387,51.44325016,179.08105859999998,64.31749832,67.69694196
2018-11-19,60.15743393,53.70829586,49.40338718,221.2112363,69.24975159,63.60286801,50.50822264,179.59459990000002,69.12077049,75.40516176
2018-11-20,63.03404383,58.11997605,50.29494437,228.77608619999998,68.62159481,62.85179755,53.50354031,196.3156142,71.75440801,79.64720743
2018-11-21,62.61409969,57.25191514,45.75280472,203.26597030000002,63.96957711,56.67651744,50.23423494,177.3643179,71.07074341,77.16163941
2018-11-22,62.60489953,57.2622311,45.72458794,203.2934528,63.03473846,56.36595079,49.73713028,178.1161193,70.97412535,77.21476858
