Date,refloc,IndexSeries,IndexSymbol,CreditVix_pc,CreditVix_bp,NearTerm,NextTerm,Percentage_Near,BasisPoint_Near,D1,Percentage_Next,BasisPoint_Next,D2,sigma1sq_pc,sigma2sq_pc,sigma1sq_bp,sigma2sq_bp,T1,T2,IndexVersion
2018-08-27,N1730,30,VIXHY,31.209724886,114.84847476,2018-09-19,2018-10-17,30.928193079,111.75566674,23,31.586627079,118.90488489,51,0.0956553127,0.099771501,1.2489329048,1.4138371651,0.0630136986,0.1397260274,
2018-08-27,N1730,30,VIXHY,31.209724886,114.84847476,2018-09-19,2018-10-17,30.928193079,111.75566674,23,31.586627079,118.90488489,51,0.0956553127,0.099771501,1.2489329048,1.4138371651,0.0630136986,0.1397260274,
2018-08-27,N1730,30,VIXIG,41.516469263,28.366318064,2018-09-19,2018-10-17,41.541390535,27.821782921,23,41.482728418,29.086820451,51,0.1725687128,0.1720816757,0.0774051605,0.0846043124,0.0630136986,0.1397260274,
2018-08-27,N1730,30,VIXIG,41.516469263,28.366318064,2018-09-19,2018-10-17,41.541390535,27.821782921,23,41.482728418,29.086820451,51,0.1725687128,0.1720816757,0.0774051605,0.0846043124,0.0630136986,0.1397260274,
2018-08-27,N1730,30,VIXIG,41.516469263,28.366318064,2018-09-19,2018-10-17,41.541390535,27.821782921,23,41.482728418,29.086820451,51,0.1725687128,0.1720816757,0.0774051605,0.0846043124,0.0630136986,0.1397260274,
2018-08-28,L1730,28,VIXFS,59.450419811,48.067391911,2018-09-19,2018-10-17,58.282163033,46.296443743,22,60.709542022,49.942957192,50,0.3396810528,0.3685648492,0.2143360703,0.2494298973,0.0602739726,0.1369863014,
2018-08-28,L1730,28,VIXIE,45.748475996,28.73674722,2018-09-19,2018-10-17,44.976472383,27.427200209,22,46.582905047,30.11154103,50,0.2022883068,0.2169967043,0.0752251311,0.0906704903,0.0602739726,0.1369863014,
2018-08-28,L1730,28,VIXXO,35.563121014,97.718189573,2018-09-19,2018-10-17,34.656365741,92.841739167,22,36.534567948,102.81549601,50,0.1201063686,0.1334774655,0.8619588532,1.057102622,0.0602739726,0.1369863014,
2018-08-28,L1730,29,VIXFS,58.685806817,53.673685106,2018-09-19,2018-10-17,57.638208391,52.01944728,22,59.816978047,55.436361787,50,0.3322163067,0.3578070863,0.2706022895,0.3073190208,0.0602739726,0.1369863014,
2018-08-28,L1730,29,VIXHY,31.412108997,107.77899984,2018-09-19,2018-10-17,30.996520073,104.09098322,22,31.862996723,111.69525874,50,0.0960784257,0.101525056,1.0834932789,1.2475830826,0.0602739726,0.1369863014,
