ticker,ERIXITSE Index,ERIXITSE Index,ERIXCDIG Index,ERIXCDIG Index,IBOXHYSE CBBT Curncy,ERINCDHY Index,ERINCDHY Index,ITRXEBE CBBT Curncy,VIX Index,VIX Index,ERIXITEU Index,ERIXITEU Index,ITRXEXE CBBT Curncy,SX5E Index,SX5E Index,ERIXITXO Index,ERIXITXO Index,IEF Equity,IEF Equity,ITRXESE CBBT Curncy,AGG Equity,AGG Equity,HYG Equity,HYG Equity,SPX Index,SPX Index,LQD Equity,LQD Equity,TYVIX Index,TYVIX Index,TY1 Comdty,SPJGBV Index,SPJGBV Index,JB1 Comdty,SRVIX Index,SRVIX Index,IBOXUMAE CBBT Curncy
1995-03-06,,,,,,,,,12.17,12.17,,,,1304.05,1304.05,,,,,,,,,,485.63,652.3413,,,,,103.40625,,,111.3,,,
1995-03-07,,,,,,,,,14.22,14.22,,,,1296.32,1296.32,,,,,,,,,,482.12,647.6592,,,,,103.21875,,,112.1,,,
1995-03-08,,,,,,,,,13.72,13.72,,,,1282.35,1282.35,,,,,,,,,,483.14,649.0338,,,,,103.625,,,111.28,,,
1995-03-09,,,,,,,,,13.36,13.36,,,,1274.57,1274.57,,,,,,,,,,483.16,649.3973,,,,,104.125,,,110.81,,,
1995-03-10,,,,,,,,,12.38,12.38,,,,1282.26,1282.26,,,,,,,,,,489.57,658.0224,,,,,104.4375,,,110.98,,,
1995-03-13,,,,,,,,,12.15,12.15,,,,1275.46,1275.46,,,,,,,,,,490.05,658.7118,,,,,104.65625,,,111.6,,,
1995-03-14,,,,,,,,,12.1,12.1,,,,1287.85,1287.85,,,,,,,,,,492.89,662.5553,,,,,105.3125,,,111.33,,,
1995-03-15,,,,,,,,,12.42,12.42,,,,1285.04,1285.04,,,,,,,,,,491.88,661.2352,,,,,105.25,,,111.5,,,
1995-03-16,,,,,,,,,11.95,11.95,,,,1289.06,1289.06,,,,,,,,,,495.41,666.0242,,,,,105.3125,,,111.86,,,
1995-03-17,,,,,,,,,11.8,11.8,,,,1305.29,1305.29,,,,,,,,,,495.52,666.1819,,,,,104.96875,,,112.37,,,
1995-03-20,,,,,,,,,11.34,11.34,,,,1303.91,1303.91,,,,,,,,,,496.15,667.0303,,,,,104.875,,,112.3,,,
1995-03-21,,,,,,,,,11.53,11.53,,,,1301.41,1301.41,,,,,,,,,,495.07,665.5907,,,,,104.65625,,,,,,
1995-03-22,,,,,,,,,11.29,11.29,,,,1303.8,1303.8,,,,,,,,,,495.67,666.3996,,,,,104.375,,,112.75,,,
1995-03-23,,,,,,,,,11.43,11.43,,,,1280.09,1280.09,,,,,,,,,,495.95,666.7761,,,,,103.9375,,,113.5,,,
1995-03-24,,,,,,,,,11.19,11.19,,,,1284.27,1284.27,,,,,,,,,,500.97,673.5272,,,,,104.75,,,113.2,,,
1995-03-27,,,,,,,,,11.83,11.83,,,,1295.5,1295.5,,,,,,,,,,503.2,676.8176,,,,,105.03125,,,112.82,,,
1995-03-28,,,,,,,,,11.33,11.33,,,,1285.68,1285.68,,,,,,,,,,503.9,677.7658,,,,,104.34375,,,113.88,,,
1995-03-29,,,,,,,,,12.51,12.51,,,,1288.75,1288.75,,,,,,,,,,503.12,676.718,,,,,104.40625,,,114.0,,,
1995-03-30,,,,,,,,,12.62,12.62,,,,1307.45,1307.45,,,,,,,,,,502.22,675.5532,,,,,104.15625,,,113.99,,,
1995-03-31,,,,,,,,,13.37,13.37,,,,1300.13,1300.13,,,,,,,,,,500.71,673.5418,,,,,103.90625,,,114.56,,,
1995-04-03,,,,,,,,,13.5,13.5,,,,1298.18,1298.18,,,,,,,,,,501.85,675.2098,,,,,104.4375,,,115.75,,,
1995-04-04,,,,,,,,,12.62,12.62,,,,1312.51,1312.51,,,,,,,,,,505.24,679.9493,,,,,104.5625,,,115.85,,,
1995-04-05,,,,,,,,,12.96,12.96,,,,1314.91,1314.91,,,,,,,,,,505.57,680.5245,,,,,104.5625,,,115.05,,,
1995-04-06,,,,,,,,,12.81,12.81,,,,1322.25,1322.25,,,,,,,,,,506.08,681.2114,,,,,104.84375,,,115.49,,,
1995-04-07,,,,,,,,,12.85,12.85,,,,1318.14,1318.14,,,,,,,,,,506.42,681.7313,,,,,104.71875,,,115.7,,,
1995-04-10,,,,,,,,,12.79,12.79,,,,1313.45,1313.45,,,,,,,,,,507.01,682.551,,,,,104.625,,,114.87,,,
